"St","Name","Version","Arch","Description","Licenses"
"ii","breeze-cursor-theme","4:5.18.4.1-0ubuntu1","all","Default Plasma cursor theme.","BSD-3-clause Expat Expat_and_GPL-2+ GPL-2+ GPL-2+3+KDEeV LGPL-2.1+3+KDEeV LGPL-3+"
"ii","breeze-icon-theme","4:5.68.0-0ubuntu1","all","Default Plasma icon theme","LGPL-2.1+"
"ii","brltty","6.0+dfsg-4ubuntu6","amd64","Access software for a blind person using a braille display","LGPL-2.1"
"ii","bsdmainutils","11.1.2ubuntu3","amd64","collection of more utilities from FreeBSD","See project repository"
"ii","bsdutils","1:2.34-0.1ubuntu9.1","amd64","basic utilities from 4.4BSD-Lite","BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain"
"ii","btrfs-progs","5.4.1-2","amd64","Checksumming Copy on Write Filesystem utilities","GPL-2 GPL-2+ TLP-4"
"ii","bubblewrap","0.4.0-1ubuntu4","amd64","setuid wrapper for unprivileged chroot and namespace manipulation","GPL-2+ with Autoconf exception LGPL-2+"
"ii","build-essential","12.8ubuntu1.1","amd64","Informational list of build-essential packages","GPL"
"ii","busybox-initramfs","1:1.30.1-4ubuntu6.3","amd64","Standalone shell setup for initramfs","GPL-2"
"ii","busybox-static","1:1.30.1-4ubuntu6.3","amd64","Standalone rescue shell with tons of builtin utilities","GPL-2"
"ii","bzip2","1.0.8-2","amd64","high-quality block-sorting file compressor - utilities","BSD-variant GPL-2"
"ii","ca-certificates","20201027ubuntu0.20.04.1","all","Common CA certificates","GPL-2+ MPL-2.0"
"ii","ca-certificates-java","20190405ubuntu1","all","Common CA certificates (JKS keystore)","GPL"
"ii","cabextract","1.9-3","amd64","Microsoft Cabinet file unpacker","GPL"
"ii","calligra-data","1:3.1.0+dfsg-6ubuntu7","all","common shared data for the Calligra Suite","Apache-2.0 BSD-2-Clause BSD-3-Clause BSL-1.0 Bakoma Bitstream-Arev Bitstream-Vera CC0-1.0 Expat GFDL-1.2+ GPL-2 GPL-2 or GPL-3+KDE GPL-2+ GPL-2+__and__LGPL-2+__and__LGPL-2.1__and__LGPL-2.1+ GPL-3+ GPL-3+KDE LGPL-2 LGPL-2 or LGPL-3+KDE LGPL-2+ LGPL-2+ or BSD-3-Clause LGPL-2+ or LGPL-2.1 LGPL-2.1 LGPL-2.1+ LGPL-3+KDE MPL-2.0 OASIS Public-Domain W3C-Doc-2015 W3C-Software-20150513 WordNet XML-Schema exception-LGPL-Nokia-QT-1.1"
"ii","calligra-libs","1:3.1.0+dfsg-6ubuntu7","amd64","common libraries and binaries for the Calligra Suite","Apache-2.0 BSD-2-Clause BSD-3-Clause BSL-1.0 Bakoma Bitstream-Arev Bitstream-Vera CC0-1.0 Expat GFDL-1.2+ GPL-2 GPL-2 or GPL-3+KDE GPL-2+ GPL-2+__and__LGPL-2+__and__LGPL-2.1__and__LGPL-2.1+ GPL-3+ GPL-3+KDE LGPL-2 LGPL-2 or LGPL-3+KDE LGPL-2+ LGPL-2+ or BSD-3-Clause LGPL-2+ or LGPL-2.1 LGPL-2.1 LGPL-2.1+ LGPL-3+KDE MPL-2.0 OASIS Public-Domain W3C-Doc-2015 W3C-Software-20150513 WordNet XML-Schema exception-LGPL-Nokia-QT-1.1"
"ii","calligrawords","1:3.1.0+dfsg-6ubuntu7","amd64","word processor for the Calligra Suite","Apache-2.0 BSD-2-Clause BSD-3-Clause BSL-1.0 Bakoma Bitstream-Arev Bitstream-Vera CC0-1.0 Expat GFDL-1.2+ GPL-2 GPL-2 or GPL-3+KDE GPL-2+ GPL-2+__and__LGPL-2+__and__LGPL-2.1__and__LGPL-2.1+ GPL-3+ GPL-3+KDE LGPL-2 LGPL-2 or LGPL-3+KDE LGPL-2+ LGPL-2+ or BSD-3-Clause LGPL-2+ or LGPL-2.1 LGPL-2.1 LGPL-2.1+ LGPL-3+KDE MPL-2.0 OASIS Public-Domain W3C-Doc-2015 W3C-Software-20150513 WordNet XML-Schema exception-LGPL-Nokia-QT-1.1"
"ii","calligrawords-data","1:3.1.0+dfsg-6ubuntu7","all","data files for Words word processor","Apache-2.0 BSD-2-Clause BSD-3-Clause BSL-1.0 Bakoma Bitstream-Arev Bitstream-Vera CC0-1.0 Expat GFDL-1.2+ GPL-2 GPL-2 or GPL-3+KDE GPL-2+ GPL-2+__and__LGPL-2+__and__LGPL-2.1__and__LGPL-2.1+ GPL-3+ GPL-3+KDE LGPL-2 LGPL-2 or LGPL-3+KDE LGPL-2+ LGPL-2+ or BSD-3-Clause LGPL-2+ or LGPL-2.1 LGPL-2.1 LGPL-2.1+ LGPL-3+KDE MPL-2.0 OASIS Public-Domain W3C-Doc-2015 W3C-Software-20150513 WordNet XML-Schema exception-LGPL-Nokia-QT-1.1"
"ii","caribou","0.4.21+mint1+ulyssa","amd64","Configurable on screen keyboard with scanning mode","GPL-3+ LGPL-2.1+"
"ii","casper","1.445.1","amd64","Run a "live" preinstalled system from read-only media","GPL"
"ii","catdoc","1:0.95-4.1","amd64","text extractor for MS-Office files","GPL-2 Unicode"
"ii","ccache","3.7.7-1","amd64","Compiler cache for fast recompilation of C/C++ code","BSD-3-clause Expat GPL-3+ ZLIB custom public-domain"
"ii","celluloid","0.19-linuxmint1+ulyana","amd64","simple GTK+ frontend for mpv","GPL-3+"
"ii","chromium-codecs-ffmpeg-extra","1:85.0.4183.83-0ubuntu0.20.04.2","amd64","Transitional package - chromium-codecs-ffmpeg-extra -> chromium-ffmpeg snap","BSD-Style (3-clause)"
"ii","cifs-utils","2:6.9-1ubuntu0.1","amd64","Common Internet File System utilities","GPL-3+ LGPL-3+"
"ii","cinnamon","4.6.7+ulyana","amd64","Modern Linux desktop","GPL-2 GPL-3 LGPL-2.1"
"ii","cinnamon-common","4.6.7+ulyana","all","Cinnamon desktop (Common data files)","GPL-2 GPL-3 LGPL-2.1"
"ii","cinnamon-control-center","4.6.2+ulyana","amd64","utilities to configure the Cinnamon desktop","Expat GPL-2+ LGPL-2+ LGPL-2.1+ public-domain"
"ii","cinnamon-control-center-data","4.6.2+ulyana","all","configuration applets for Cinnamon - data files","Expat GPL-2+ LGPL-2+ LGPL-2.1+ public-domain"
"ii","cinnamon-control-center-dbg","4.6.2+ulyana","amd64","utilities to configure the Cinnamon desktop - debug symbols","Expat GPL-2+ LGPL-2+ LGPL-2.1+ public-domain"
"ii","cinnamon-dbg","4.6.7+ulyana","amd64","Debugging symbols for the Cinnamon desktop","GPL-2 GPL-3 LGPL-2.1"
"ii","cinnamon-desktop-data","4.6.4+ulyana","all","Common files for Cinnamon desktop apps","GPL GPL-2+ LGPL-2+ LGPL-2.1+ MIT/X11"
"ii","cinnamon-l10n","4.6.2","all","Translation files for the Cinnamon desktop","GPL-2+"
"ii","cinnamon-screensaver","4.6.0+ulyana","amd64","Cinnamon screen saver and locker","GPL-2+ LGPL-2+ MIT/X11 Permissive"
"ii","cinnamon-session","4.6.2+ulyana","amd64","Cinnamon Session Manager - Minimal runtime","GPL GPL-2+ LGPL-2+ Permissive"
"ii","cinnamon-session-common","4.6.2+ulyana","all","Cinnamon Session Manager - common files","GPL GPL-2+ LGPL-2+ Permissive"
"ii","cinnamon-settings-daemon","4.6.4+ulyana","amd64","daemon handling the Cinnamon session settings","GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1 LGPL-2.1+ MIT/X11 Permissive"
"ii","cjs","4.6.0+ulyana","amd64","Mozilla-based javascript bindings for the Cinnamon platform","GPL-2"
"ii","clamav-base","0.102.4+dfsg-0ubuntu0.20.04.1","all","anti-virus utility for Unix - base package","Apache-2.0 with GPL exception BSD-2-clause BSD-3-clause Expat GPL-2 GPL-2 with OpenSSL exception GPL-2+ GPL-2+ with Autoconf exception GPL-2+ with Libtool exception GPL-3+ with Autoconf exception GPL-3+ with Bison exception ISC LGPL-2+ with Libtool exception LGPL-2.1 LZW Zlib nsis-bzip2 permissive permissive~1 permissive~2 permissive~3 permissive~4 public-domain public-domain~1 public-domain~2 public-domain~3"
"ii","cmake","3.16.3-1ubuntu1","amd64","cross-platform, open-source make system","Apache-2.0 BSD-2-clause BSD-3-clause BSD-4-clause GPL-2+with_exception GPL-3+with_exception ISC MIT-like zlib"
"ii","cmake-data","3.16.3-1ubuntu1","all","CMake data files (modules, templates and documentation)","Apache-2.0 BSD-2-clause BSD-3-clause BSD-4-clause GPL-2+with_exception GPL-3+with_exception ISC MIT-like zlib"
"ii","code","1.52.1-1608136922","amd64","Code editing. Redefined.","See project repository"
"ii","colord","1.4.4-2","amd64","system service to manage device colour profiles -- system daemon","CC0 GFDL-NIV GPL-2+ LGPL-2.1+"
"ii","colord-data","1.4.4-2","all","system service to manage device colour profiles -- data files","CC0 GFDL-NIV GPL-2+ LGPL-2.1+"
"ii","comerr-dev:amd64","2.1-1.45.5-2ubuntu1","amd64","common error description library - headers and static libraries","GPL-2 LGPL-2"
"ii","conky","1.10.8-1build3","all","highly configurable system monitor (transitional package)","BSD-3-clause GPL-2.0+ GPL-3.0+ ISC LGPL-2.1+"
"ii","conky-all","1.10.8-1build3","amd64","highly configurable system monitor (all features enabled)","BSD-3-clause GPL-2.0+ GPL-3.0+ ISC LGPL-2.1+"
"ii","conky-manager","2.4-1~136~ppa~focal3","amd64","Utility for managing Conky configuration files","GPL-2+"
"ii","conky-manager-extra","1.0.0~focal","all","Extra widgets for Conky Manager.","GPL-2+"
"ii","console-setup","1.194ubuntu3mint1","all","console font and keymap setup program","GPL-2"
"ii","console-setup-linux","1.194ubuntu3mint1","all","Linux specific part of console-setup","GPL-2"
"ii","coreutils","8.30-3ubuntu2","amd64","GNU core utilities","GPL-3"
"ii","cpanminus","1.7044-1","all","script to get, unpack, build and install modules from CPAN","Artistic Artistic or GPL-1+ GPL-1+"
"ii","cpio","2.13+dfsg-2","amd64","GNU cpio -- a program to manage archives of files","GPL-3"
"ii","cpp","4:9.3.0-1ubuntu2","amd64","GNU C preprocessor (cpp)","GPL"
"ii","cpp-9","9.3.0-17ubuntu1~20.04","amd64","GNU C preprocessor","Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL"
"ii","cracklib-runtime","2.9.6-3.2","amd64","runtime support for password checker library cracklib2","LGPL-2.1"
"ii","crda","3.18-1build1","amd64","wireless Central Regulatory Domain Agent","ISC copyleft-next-0.3.0"
"ii","cron","3.0pl1-136ubuntu1","amd64","process scheduling daemon","Artistic GPL-2+ ISC Paul-Vixie's-license"
"ii","cryptsetup","2:2.2.2-3ubuntu2.3","amd64","disk encryption support - startup scripts","Apache-2.0 CC0 CC0 or Apache-2.0 GPL-2+ GPL-2+ with OpenSSL exception LGPL-2.1+ LGPL-2.1+ with OpenSSL exception public-domain"
"ii","cryptsetup-bin","2:2.2.2-3ubuntu2.3","amd64","disk encryption support - command line tools","Apache-2.0 CC0 CC0 or Apache-2.0 GPL-2+ GPL-2+ with OpenSSL exception LGPL-2.1+ LGPL-2.1+ with OpenSSL exception public-domain"
"ii","cryptsetup-initramfs","2:2.2.2-3ubuntu2.3","all","disk encryption support - initramfs integration","Apache-2.0 CC0 CC0 or Apache-2.0 GPL-2+ GPL-2+ with OpenSSL exception LGPL-2.1+ LGPL-2.1+ with OpenSSL exception public-domain"
"ii","cryptsetup-run","2:2.2.2-3ubuntu2.3","all","transitional dummy package for cryptsetup","Apache-2.0 CC0 CC0 or Apache-2.0 GPL-2+ GPL-2+ with OpenSSL exception LGPL-2.1+ LGPL-2.1+ with OpenSSL exception public-domain"
"ii","cups","2.3.1-9ubuntu1.1","amd64","Common UNIX Printing System(tm) - PPD/driver support, web interface","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","cups-browsed","1.27.4-1","amd64","OpenPrinting CUPS Filters - cups-browsed","BSD-4-clause Expat GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL-2 LGPL-2.1+"
"ii","cups-bsd","2.3.1-9ubuntu1.1","amd64","Common UNIX Printing System(tm) - BSD commands","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","cups-client","2.3.1-9ubuntu1.1","amd64","Common UNIX Printing System(tm) - client programs (SysV)","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","cups-common","2.3.1-9ubuntu1.1","all","Common UNIX Printing System(tm) - common files","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","cups-core-drivers","2.3.1-9ubuntu1.1","amd64","Common UNIX Printing System(tm) - driverless printing","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","cups-daemon","2.3.1-9ubuntu1.1","amd64","Common UNIX Printing System(tm) - daemon","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","cups-filters","1.27.4-1","amd64","OpenPrinting CUPS Filters - Main Package","BSD-4-clause Expat GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL-2 LGPL-2.1+"
"ii","cups-filters-core-drivers","1.27.4-1","amd64","OpenPrinting CUPS Filters - Driverless printing","BSD-4-clause Expat GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL-2 LGPL-2.1+"
"ii","cups-ipp-utils","2.3.1-9ubuntu1.1","amd64","Common UNIX Printing System(tm) - IPP developer/admin utilities","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","cups-pk-helper","0.2.6-1ubuntu3","amd64","PolicyKit helper to configure cups with fine-grained privileges","GPL-2"
"ii","cups-ppdc","2.3.1-9ubuntu1.1","amd64","Common UNIX Printing System(tm) - PPD manipulation utilities","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","cups-server-common","2.3.1-9ubuntu1.1","all","Common UNIX Printing System(tm) - server common files","Apache-2.0 Apache-2.0-with-GPL2-LGPL2-Exception Apache-2.0-with-GPL2-LGPL2-Exception or BSD-2-clause BSD-3-clause FSFUL Zlib"
"ii","curl","7.68.0-1ubuntu2.4","amd64","command line tool for transferring data with URL syntax","BSD-3-Clause BSD-4-Clause ISC curl other public-domain"
"ii","dash","0.5.10.2-6","amd64","POSIX-compliant shell","GPL"
"ii","dbus","1.12.16-2ubuntu2.1","amd64","simple interprocess messaging system (daemon and utilities)","AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish g10-permissive"
"ii","dbus-user-session","1.12.16-2ubuntu2.1","amd64","simple interprocess messaging system (systemd --user integration)","AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish g10-permissive"
"ii","dbus-x11","1.12.16-2ubuntu2.1","amd64","simple interprocess messaging system (X11 deps)","AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish g10-permissive"
"ii","dc","1.07.1-2build1","amd64","GNU dc arbitrary precision reverse-polish calculator","GPL-2.0+ GPL-2.0+ with Texinfo exception X11 permissive permissive' public-domain"
"ii","dconf-cli","0.36.0-1","amd64","simple configuration storage system - utilities","GPL-3 LGPL-2+"
"ii","dconf-gsettings-backend:amd64","0.36.0-1","amd64","simple configuration storage system - GSettings back-end","GPL-3 LGPL-2+"
"ii","dconf-service","0.36.0-1","amd64","simple configuration storage system - D-Bus service","GPL-3 LGPL-2+"
"ii","dcraw","9.28-2","amd64","decode raw digital camera images","GPL-2+ Permissive dcraw"
"ii","dctrl-tools","2.24-3","amd64","Command-line tools to process Debian package information","BSD-2-clause GPL-2+"
"ii","debconf","1.5.73","all","Debian configuration management system","BSD-2-clause"
"ii","debconf-i18n","1.5.73","all","full internationalization support for debconf","BSD-2-clause"
"ii","debhelper","12.10ubuntu1","all","helper programs for debian/rules","BSD-3-clause GPL-2+ GPL-3+ public-domain"
"ii","debianutils","4.9.1","amd64","Miscellaneous utilities specific to Debian","GPL"
"ii","default-jdk","2:1.11-72","amd64","Standard Java or Java compatible Development Kit","GPL-2+"
"ii","default-jdk-headless","2:1.11-72","amd64","Standard Java or Java compatible Development Kit (headless)","GPL-2+"
"ii","default-jre","2:1.11-72","amd64","Standard Java or Java compatible Runtime","GPL-2+"
"ii","default-jre-headless","2:1.11-72","amd64","Standard Java or Java compatible Runtime (headless)","GPL-2+"
"ii","desktop-file-utils","0.24+linuxmint1","amd64","Utilities for .desktop files","GPL-2+"
"ii","devscripts","2.20.2ubuntu2","amd64","scripts to make the life of a Debian Package maintainer easier","Artistic Artistic or GPL-1+ Artistic-2.0 Expat GPL-1+ GPL-2 GPL-2+ GPL-3 GPL-3+ ISC Public-Domain"
"ii","dh-autoreconf","19","all","debhelper add-on to call autoreconf and clean up after the build","GPL-2+"
"ii","dh-strip-nondeterminism","1.7.0-1","all","file non-deterministic information stripper — Debhelper add-on","GPL-3+"
"ii","dialog","1.3-20190808-1","amd64","Displays user-friendly dialog boxes from shell scripts","LGPL-2.1"
"ii","dictionaries-common","1.28.1","all","spelling dictionaries - common utilities","GPL-2+ GPL-3+"
"ii","diffstat","1.63-1","amd64","produces graph of changes introduced by a diff file","See project repository"
"ii","diffutils","1:3.7-3","amd64","File comparison utilities","GFDL GPL"
"ii","dirmngr","2.2.19-3ubuntu2","amd64","GNU privacy guard - network certificate management service","BSD-3-clause CC0-1.0 Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive"
"ii","distro-info-data","0.43ubuntu1.4","all","information about the distributions' releases (data files)","ISC"
"ii","dkms","2.8.1-5ubuntu1","all","Dynamic Kernel Module Support Framework","GPL-2"
"ii","dmeventd","2:1.02.167-1ubuntu1","amd64","Linux Kernel Device Mapper event daemon","BSD-2-Clause GPL-2.0 GPL-2.0+ LGPL-2.1"
"ii","dmidecode","3.2-3","amd64","SMBIOS/DMI table decoder","GPL-2+"
"ii","dmraid","1.0.0.rc16-8ubuntu3","amd64","Device-Mapper Software RAID support tool","GPL LGPL"
